Rank,Player ID,Player,EX Rating,Charts Rated
111,ztKZ7CB5esdMmowLsJsSC32Rrdxc,Cr¡z,2.006,1
112,ztHp9qPrGaXpNHxO3dVTeXJo4U6O,TheBobcactus,3.924,61
113,ztFzgfqxJYfj9KjtjYdjypi3praj,they + were + Roommates,3.603,42
114,ztFZq0fOoxMadHuLRK8N0TlheKqR,鯨流,2.033,2
115,ztFYz9r665fOula7jIgRtHBtHl64,Lily of the Valley :3,4.093,120
116,ztD3liQl6cVEBbSGQu6shhvyV2aL,pasdetaff,4.110,66
117,zt9KOhf44aV2XI2jNw3xBepjvVT0,nonscaled,2.839,26
118,zt8XAIZu8EUHieOxVo6JhTlpsQJc,Swagadi,2.970,17
119,zt6932aU3CcGlj2jsqAtqOWUkS60,MacAttack228,3.126,21
120,zt2Gv6CPcbHy7BQiI9qkuowhWRSt,FarFromPro (JT),2.119,4
121,zsz9WYIxDgHJAreFw16uk7pHGALW,Domano,4.217,47
122,zsye56kC1Hg7JgyOfzldjO3PN9rN,Galileo,2.160,4
123,zspWbF0tG4kPuB4pyTV0SHaZRaoz,joakod,2.083,4
124,zsnfZtuZnV4OhZJIlUhKCCDQsbDe,Green,5.045,83
125,zsnI31mrx7TMccKa4ZPnjf6rAaQo,Chibiwill,2.053,6
126,zslboCXyAgXGlqMOkGxB2i8jBCSA,less head more pyramid,2.034,1
127,zsjUbYCFKlgWTsQ7aaj2USHR9IsS,FishLawyerFan,3.220,51
128,zshBhuSgdqaTm1sUzVW0ulizaDak,Soupstar,2.006,1
129,zsgl2Gp1LbvDLhgamQyq6ects1Sh,hoodiedweller,10.947,326
130,zsbSdyXvHQGFywJBCRJhxcsG9fmK,Distant075,6.547,94
131,zsZYVcsVg24Y1pH4vHsIinEIsRpj,*_Rim,2.067,2
132,zsZC2NSkySdZ2N1BnEZUSntzIjH1,stink++I.E.E.,2.100,2
133,zsMu2kMuFvReCe72bUcQyIc1ruek,MagicMirage,4.286,33
134,zsJpvSvmuw2ES3cVkjcxcTxfGa0D,Senor Salt,2.625,13
135,zsGVAabgUnjxQiuCC2NIdOqE81hU,Nutaku,3.350,44
136,zsCfsEUTe6GgLZNnlg6vvmCOK6P3,Neat,3.040,19
137,zsAQayCl0fyM9wqIRWKTafWAA6fc,Keku,2.040,2
138,zsA1tgl5Guiz8nTHEaGrYRrPHYdu,Cascarrias,2.688,13
139,zs9WE3eCmXEjNyjENkkhQsGAjknT,Televi Arc,2.362,15
140,zs5fX84SVXryaDyMyiYPQcOo8pXj,Invocation: SDIYBT,2.173,4
141,zs3fEQgQ58T7zkAI1evpImgPbu4c,Ana,2.303,9
142,zs0lqlFZfMZ3Ok4gfRFsUzbHI8fp,Riki--01,2.118,3
143,zrvPCtFP8NJnUjfV1RbF7XR7WsDO,Old Man Cameron,4.089,110
144,zrqzMzgpkuq2BOPnYPWbSYjfyfcs,KazooieM,2.285,7
145,zrqjNowl7EEciZ4t7yqvdgpjNhyg,SirGentleman,3.255,16
146,zrjYLJRstv1yttYMVeZ3CKN2abtH,active boxes :3,4.161,73
147,zrjQLBYXF1pzfAPzu3gpvoht2GuL,Trash Mom,3.506,44
148,zrgZ8mlJtOrzZ0O9urj1GMuQkbko,buhshm,2.070,2
149,zrUZc3U3ercXrRp2DX7dmOx58XrC,Holepunches,4.766,30
150,zrTrLV7MY2WlOfijs3xWTaVKWBfr,pigtv,2.035,1
151,zrNZa6GKR7WnsctwJJtQlJ0NrzKp,HJKGamer,2.074,4
152,zrG25wQ05SMuIJiRDhkF3p8nJ6Ej,yesyes,2.037,2
153,zrEbvRhBTYYJbhLlJZan2wuKj4lS,irony_incarnate,2.062,4
154,zrEYrIz8OjYaTddXuBFYNYVweF5T,MemeOfLord,2.089,4
155,zrE4baZlhAWzoPx5q3Lc9pXJLthW,CatnipNinja10,4.008,50
156,zrDorchQMZsDKgSYOxY5EybzKSk3,labo171,2.060,2
157,zrCruCe664BCg1MPan2Y14LqvSoj,PastaToast,2.300,10
158,zr9p49YOoHKbHwGJWZBgCgELnQy2,AceWarlock,6.072,92
159,zr5TQfpATXk7XoR07mnTARho2QyO,Initial Doge,2.272,7
160,zr47Y78RNvpFi9BXFSsACsPJhnT4,Hogarth_Lives,3.033,20
161,zr11Z2BNJ8faikEIz5sRctxeNC97,Soup,3.914,29
162,zqy4OYoVdHnArQxkb8NF8gBtv0xX,wahooman,3.553,36
163,zqsDFdd82JJHYDrXH7mdTYaHX5lq,Commandant_Vermon,3.055,24
164,zqjlFxtBj0Juuam5QSnP2uhVKjHx,Particly,2.220,5
165,zqio2HSdg7DJrVYQ2bpjcTDKdWgN,MrCooper,4.405,57
166,zqhxHi6ACTq57jgbqSc6wgo4xKFM,",SHRUBBA",2.325,11
167,zqhpyhCf6nP7Z2XLDKAWZap4n1M7,Fouly ΦωΦ,2.098,2
168,zqgbsLRO4UpifwrpwA7fg1aAGfd3,eliasninja,3.057,14
169,zqfdDWYhSC8S0qOqcnpoU3BLhLJ3,mk_bread,5.944,113
170,zqeAWrmRHNb5IdA9XWE7jeBR2ies,Elbery,2.049,2
171,zqbO8s27Ta1pQG5Mb3PdMiB26iz7,Miss Wiltshire,2.937,17
172,zqNynojPbPQkfxlHuEslF3eW2Dyy,johnbuster,2.639,20
173,zqJECCgcIEAapRMItHRJqG9lWCiL,RabbidRay,2.181,3
174,zqAEGiXf4oP3hoIdUrp8FylQuR7X,Waas,2.677,14
175,zq2HsfQb0AsjZWcjSMH25Cn7bCJs,Cheb,2.279,5
176,zpwPiL1n5DeMCPHNkLvjdMDeb34R,gagemcgin,4.323,59
177,zplj47qPWSRilrhYVsR7DavqaELC,ShiveringAbel,2.200,4
178,zpjlWS1ZNikFqtDvsY0Vj5O40x1c,They/Thussy,2.763,11
179,zpdP39OSdW93fRt3Gdw2YMTWH8gI,EnzoOfRenzo,3.978,36
180,zpd63WytDP0zwbvewzYC3atVTxXE,Injir,2.253,13
181,zpbTSwbzqRSQF3Z2eaEZ8aJix7he,Erendite,3.882,24
182,zpaQfv6rh3YqtVSDfWFQggHwJzFS,yourepalal,2.005,1
183,zpTQpKR402SXnoyunkAYJPpFcnNz,初焕,2.311,9
184,zpSBWpa4JAXaVa9YQaFD7O5BnqG4,Q_035,2.037,2
185,zpNwejJ7tieq0IQUHuu408ntVBho,cold-dog,2.077,2
186,zpMF03rhRhemAGPMG0y3p3keK6Wk,Pyrojoe7,7.443,134
187,zpAu4x63aKBVf4QYyz4Rx2Qg3tPi,faustxhunk,2.455,19
188,zp8EcGwCPKogSZ4vPgDbvWHCMODx,fhqwhgads,2.056,2
189,zp5AmmGudIkGH57h1A049JqOM2zK,Mocatastic,3.281,21
190,zp27yXxGP3wOvALek3hNQVmuol4p,Caatboy,2.215,3
191,zp21ThKszDNdKcL9BiVBOvsHaxg3,Kelbrick,2.103,6
192,zovwYu2LktzrpEUhh7b0MNHsejgw,Solid,2.198,8
193,zorsTpKr61c0C5N6UWa2EthWFJRk,FeelingalilWhee,2.016,2
194,zogCuyUEOpKeEieGgmwyvNr9ZSLu,BmoreBrass,3.726,31
195,zoein8ykkSwnEPcAsmLWBsZvVYNs,jacob7rocks,2.028,1
196,zoZ5Unz10eTHky468hT6R0e5bVPO,Mumbling,2.003,1
197,zoUSSWqvEu08RJCu8aUD6bJx9xV7,AbsolutePotato,5.105,64
198,zoT4wjMToDWTfspwMieSSdIsZ4YA,Blargnova,2.312,8
199,zoNZFKZx6wzeD1IWn35izkqtLfDU,RBPepper-,2.340,12
200,zoMasNHaKichE6lpJfGwYTZX1jyV,itsPucca,3.257,22
201,zoKqILqbwu4MbLc6ENrreiTGruGL,Carmine,3.913,76
202,zoK89QUf7y0bdJhpFIXgi9fmQ2IQ,Proper Poncho,2.071,3
203,zoFCyl1vvYtBJrzYZiZUiUQTInxZ,PulkiOtBarabulky,2.030,1
204,zoDWygBeefRKxYNWRPdn8puIPsGb,сквозняк,2.181,5
205,zoD0I0M70EUMx66TIK36sj7HTfcr,Oraix,3.280,26
206,zo7kpRMFKGmQHXHhRc9DrQFZOM9v,Cutie Corvid,2.520,10
207,zo0zYwzZszX1XAxBTwkyjawLyTTW,Buppha,4.327,25
208,znzyRWf3w1lGNGHTY63k8uGI4LMl,Breadcat,3.885,40
209,znyGE58va2kkZXH8hsVHZcGxiBuK,总有刁民想害朕,2.005,1
210,znxxNg8AM0Xqn6x3q7FazuQ3kvLW,sad lonely guy,4.157,17
211,znxVFhXbzEk1XCJbiPsVMLnQIIpB,taka30eri26120,2.148,10
212,znt7ToHel0tQEsUnxzZWBrKmd1DM,Hex,7.317,182
213,znqFcmK6ZDX3mTdqQSih6IaXP1uo,Joom,2.156,5
214,znje7T9ciWUBduPay81JrKASm2wK,ThingontheFloor,2.040,2
215,znarzRoT2GdPQkPnZk6PKQViMtbw,Dark Nyx,2.915,24
216,znYikJ9JEVNTgSMtqeCN6GS0GqvS,Insert username here,2.237,7
217,znYDwdN9sxruF5HHM6lBlI561COU,konken,5.400,54
218,znRXYbwo2gl2g8YA1vaDPdpb53X4,fail gamer girl,3.138,52
219,znPcldcAwdZwX1xW0zvs1gGVRDjG,Onihara,4.808,105
220,znOJ6XWFtmlVSGBrWmC3qR0rDz7p,flop,2.223,9
221,znJ7IOzZH8niWLahqEHlb8oFrt80,ACE117414,9.009,176
222,znIrXsgkHCnDNAqr0omMI63d8aXv,Phrygia,2.788,14
223,znIJTeeaP4KDmErO9lIpFWoKn0sD,CagleBagel,2.129,3
224,znC8yrwogghK0464WtjMA6biIDBF,Arcueid,4.319,109
225,zn3THxLIfYnAOU9aZUNXmD5MsUUD,金坷垃批发专营,2.587,10
226,zn1SGkbnIuVfMgGvD51YnnbUKVBW,Mangogon,3.192,22
227,zmyre2LCnHbbp7iSDGcP0H9gH1iZ,Xros,2.012,2
228,zmyhK3cBT2Hexi9FFZZu01Yh4H3y,Shiki,3.425,18
229,zmx99SkD3pRiUzuUOAEKZhgiozJL,B._.,7.847,192
230,zmwVM2Ohf81lfBi1xskPZ7XVwwh8,Mugman_the_3000,2.032,1
231,zmvQRHf6UgpCsZB611AEDazDPP0m,camo,3.459,20
232,zmsVA98FrAjdcdFG43W2SsFLZkhk,Astravolt,3.364,16
233,zms4J2gMaTzSmYH8D9foduBgoVj2,Aelius,2.729,19
234,zmqkv5qN0PMiz6TO5ntt6ttIT3sc,CoralianCommand,2.629,12
235,zmciI771u5oqOr9kyjgZqe0hvYtc,Luna,4.252,45
236,zmVpKAtVwvapH9tPPHX1DNFCXRAy,Ham Stroker's Ejacula,2.694,8
237,zmSHoEQM5zrWUUsWiBj7jCDcl7R3,Solid,2.010,1
238,zmPDKUEJfG8uXtiiE6c87FIljwAS,IIyKedo,2.070,3
239,zmLx6TH7Cw11dOyyJodmck8vOjUP,Spicy~,2.589,7
240,zmKMWyaBIr5qOpBW6Q6VLDcMKWUv,M,3.685,125
241,zmBYRdgUVRVhkfULRe6Sp7srOWrv,Eve,3.542,24
242,zm6NWn5312Wwb8h3nVGRWK4HAoUD,Aghott,6.986,109
243,zlzecgxjOugqOPj3NjGGG9VcLqUb,Kindar,5.158,52
244,zlx6NSrH0yWsGFF8zGRxCHGst5kO,Beepbop728,4.748,50
245,zluJVQ8kfszLG7Mn1Gx2r0gWAIOQ,CaptainSlyFox17,2.007,1
246,zlnFMGFtC3IKkH25AFyTBWD7pKrL,Le_Ray,4.084,29
247,zldLUrCLe5wiO6DMJ0idabCV3wZH,irritating worm,3.758,53
248,zlY1lEq7fF8PyCB2DsnuVURplDYG,Optyzma,2.386,8
249,zlPMda7CguljtiLzDgxIxOdQrZ9Y,Ace404,2.470,15
250,zlL7202IkJuaLj2u3a1RBtsSgYMB,echo,2.011,2
251,zlF9L9Uusagy90nRyYwaLfT95HOO,myukyuwu,2.259,3
252,zl9AlTT7FW4jHZDbxFJlBA36ZhWY,FrankieWIthY,4.531,92
253,zl1XClMBuVtfUQw2LetQTYZVZf7d,Jules,2.560,8
254,zl136bBCzvazmdYQ2QC4VF4baBM7,Siler,2.031,2
255,zkyKxuxP7fb53NUwCrbhNrZjfmkf,DKING6589,2.266,3
256,zkusyt9C0QJLq8IYHUsdwWJuaHqm,Eloise,2.025,1
